Succursale,Succursale_ID,Produit_Catégorie,Marque - Nom,Souche
Alma,37,Fleurs Séchées,Cultures Chloris - Zombie Bride,Hybride
Alma,37,Fleurs Séchées,DLYS - Artisans,Hybride
Alma,37,Fleurs Séchées,Endo - Purple Mountain Majesty,Hybride
Alma,37,Fleurs Séchées,Figr - Jungle Fumes,Sativa
Alma,37,Fleurs Séchées,Fleurons - Menu Cantine,Indica
Alma,37,Fleurs Séchées,Fleurons - Menu Dessert,Sativa
Alma,37,Fleurs Séchées,Fleurs de Lise - Ben Trop,Hybride
Alma,37,Fleurs Séchées,Fleurs de Lise - L' Joe Louis,Hybride
Alma,37,Fleurs Séchées,Fleurs de Lise - L'Bon Voisin,Sativa
Alma,37,Fleurs Séchées,Fleurs de Lise - La Cerise sur le Funday,Sativa
Alma,37,Fleurs Séchées,Fleurs de Lise - Le Passe Partout,Sativa
Alma,37,Fleurs Séchées,Goldh - Kik Cola,Hybride
Alma,37,Fleurs Séchées,Good Supply - Grand Daddy Purps,Indica
Alma,37,Fleurs Séchées,Good Supply - Jean Guy,Sativa
Alma,37,Fleurs Séchées,Good Supply - Pineapple Express,Hybride
Alma,37,Fleurs Séchées,Good Supply - Sweet Berry Kush,Indica
Alma,37,Fleurs Séchées,Green Joy - Grape Yogurt,Hybride
Alma,37,Fleurs Séchées,Green Joy - Lemon Pepper Punch,Sativa
Alma,37,Fleurs Séchées,Green Joy - Mango Cheese,Sativa
Alma,37,Fleurs Séchées,Hatrick - Meat Breath,Indica
Alma,37,Fleurs Séchées,Hexo - Lagune,Indica
Alma,37,Fleurs Séchées,Hexo - Lemon Haze,Sativa
Alma,37,Fleurs Séchées,Highly Dutch Organic - Amsterdam Sativa,Sativa
Alma,37,Fleurs Séchées,Homage - Citrus Tsunami,Sativa
Alma,37,Fleurs Séchées,Homage - Strawberry Lemonade,Sativa
Alma,37,Fleurs Séchées,Kokotte - Garlic Funk,Indica
Alma,37,Fleurs Séchées,Kokotte - Mango K,Sativa
Alma,37,Fleurs Séchées,La Voûte - Blueberry Kush,Indica
Alma,37,Fleurs Séchées,Le Malin Vert - Alien Kush AAA,Indica
Alma,37,Fleurs Séchées,Lot 420 - Gelato 33,Hybride
Alma,37,Fleurs Séchées,Lot 420 - Orange Cake,Hybride
Alma,37,Fleurs Séchées,MTL Cannabis - Jungl' Cake,Sativa
Alma,37,Fleurs Séchées,MTL Cannabis - Strawberry N' Mintz,Sativa
Alma,37,Fleurs Séchées,Maitri - Purple Mint Cake,Indica
Alma,37,Fleurs Séchées,Nueva+ - Rêve Lucide,Sativa
Alma,37,Fleurs Séchées,Nugz - Early Lemon Berry,Sativa
Alma,37,Fleurs Séchées,Nugz - Nugz Hybride,Hybride
Alma,37,Fleurs Séchées,Nugz - Nugz Sativa,Sativa
Alma,37,Fleurs Séchées,OMY - Kush Cookies,Indica
Alma,37,Fleurs Séchées,OMY - Mélange Indica,Indica
Alma,37,Fleurs Séchées,OMY - Royal Mauiberry,Hybride
Alma,37,Fleurs Séchées,OMY - Ça Sent l'Gaz,Indica
Alma,37,Fleurs Séchées,Orchid - CBD Runtz,Hybride
Alma,37,Fleurs Séchées,Original Stash - OS.130,Sativa
Alma,37,Fleurs Séchées,Ostara - Long Valley Legend,Hybride
Alma,37,Fleurs Séchées,Palmetto - Pineapple Upside Down CKE,Hybride
Alma,37,Fleurs Séchées,Pecko - Le P'tit Phéno CBD,Sativa
Alma,37,Fleurs Séchées,Pecko - Le P'tit Phéno Indica,Indica
Alma,37,Fleurs Séchées,Pecko - Mosa Evo Biologique,Indica
Alma,37,Fleurs Séchées,Pistol and Paris - Pink Panties,Indica
Alma,37,Fleurs Séchées,Promenade - Afghan Kush,Indica
Alma,37,Fleurs Séchées,Promenade - Berry Cream Puff,Sativa
Alma,37,Fleurs Séchées,Promenade - Harlequin 1:1,Hybride
Alma,37,Fleurs Séchées,Promenade - Pennywise 1:1,Hybride
Alma,37,Fleurs Séchées,Promenade - Pine Tar Kush,Indica
Alma,37,Fleurs Séchées,Promenade - Sac Banane,Hybride
Alma,37,Fleurs Séchées,Promenade - Sour Tangie,Sativa
Alma,37,Fleurs Séchées,Promenade - Strawberry Cough,Sativa
Alma,37,Fleurs Séchées,Promenade - Sugar Cookies,Indica
Alma,37,Fleurs Séchées,Promenade - Tropicali 1:1,Sativa
Alma,37,Fleurs Séchées,Pure Laine - Island Pink Kush,Indica
Alma,37,Fleurs Séchées,Pure Laine - Mango Widow,Sativa
Alma,37,Fleurs Séchées,Pure Laine - Pineapple OG,Sativa
Alma,37,Fleurs Séchées,Pure Laine Cannabis - Alien Gelato,Hybride
Alma,37,Fleurs Séchées,Pure Laine Cannabis - Gros Plaisirs,Hybride
Alma,37,Fleurs Séchées,Pure Laine Cannabis - Wedding Crasher,Hybride
Alma,37,Fleurs Séchées,Pure Trichomes x Velada - Painted Lady,Sativa
Alma,37,Fleurs Séchées,QcGoldtech - Pure Kush,Indica
Alma,37,Fleurs Séchées,R'Belle - Avignon,Indica
Alma,37,Fleurs Séchées,R'Belle - Bastille,Indica
Alma,37,Fleurs Séchées,R'Belle - Marseille,Sativa
Alma,37,Fleurs Séchées,Saint-Laurent Cannabis - Holy Kush,Indica
Alma,37,Fleurs Séchées,San Rafael '71 - Black Jelly,Sativa
Alma,37,Fleurs Séchées,San Rafael '71 - Pink Kush,Indica
Alma,37,Fleurs Séchées,San Rafael '71 - Strawberry Sensi,Sativa
Alma,37,Fleurs Séchées,San Rafael '71 - Tangerine Dream,Sativa
Alma,37,Fleurs Séchées,Seaweed - Red Velvet Ice Cream,Hybride
Alma,37,Fleurs Séchées,Simply Bare - BC Bubba Pink Biologique,Indica
Alma,37,Fleurs Séchées,Simply Bare - BC Frosted Fruit Cake Bio,Indica
Alma,37,Fleurs Séchées,Simply Bare - BC Fruit Loopz Biologique,Sativa
Alma,37,Fleurs Séchées,Solei - Libérer,Sativa
Alma,37,Fleurs Séchées,Sonique - Cotton Candy,Hybride
Alma,37,Fleurs Séchées,Space Cannabis - Slurricane Mint,Hybride
Alma,37,Fleurs Séchées,Spinach - Spinach GMO Cookies,Indica
Alma,37,Fleurs Séchées,Spinach - Spinach Lemon Skunk,Sativa
Alma,37,Fleurs Séchées,Sumo - Mac Deluxe,Indica
Alma,37,Fleurs Séchées,Sumo - Papaya Bomb,Indica
Alma,37,Fleurs Séchées,Sweetgrass Cannabis - Mint Chocolate Chip Biologique,Hybride
Alma,37,Fleurs Séchées,T'es Dans L'Champ - Aweille Réveille,Sativa
Alma,37,Fleurs Séchées,T'es Dans L'Champ - Dans le Divan,Indica
Alma,37,Fleurs Séchées,T'es Dans L'Champ - Grasse Matinée,Hybride
Alma,37,Fleurs Séchées,T'es Dans L'Champ - Ça Varie CBD,Hybride
Alma,37,Fleurs Séchées,Tam Tams - Blood Orange,Sativa
Alma,37,Fleurs Séchées,Tam Tams - Symphonie,Hybride
Alma,37,Fleurs Séchées,TerreBud - Iced Kush,Indica
Alma,37,Fleurs Séchées,TerreBud - Super Top Gun,Hybride
Alma,37,Fleurs Séchées,Terroir - Hybride 101,Hybride
Alma,37,Fleurs Séchées,Terroir - Painted Lady,Sativa
Alma,37,Fleurs Séchées,Terroir - Star d'un Soir,Sativa
Alma,37,Fleurs Séchées,The Loud Plug - Exotic Gas,Indica
Alma,37,Fleurs Séchées,Trailblazer - Apples & Cream,Sativa
Alma,37,Fleurs Séchées,Tribal - Bubble Up,Indica
Alma,37,Fleurs Séchées,Tribal - Cuban Linx,Hybride
Alma,37,Fleurs Séchées,Tribal - Gelato Mint,Indica
Alma,37,Fleurs Séchées,Tribal - Neon Sunshine,Hybride
Alma,37,Fleurs Séchées,Twd. - Twd. Balanced,Hybride
Alma,37,Fleurs Séchées,Tweed - Cherry Açai Mints,Hybride
Alma,37,Fleurs Séchées,Tweed - Duplex,Mélange
Alma,37,Fleurs Séchées,Tweed - Lemon Meringue Pie,Sativa
Alma,37,Fleurs Séchées,Uncommon Cannabis Co. - Rose Gold Pavé,Sativa
Alma,37,Fleurs Séchées,Vert - CBD OG Kush,Indica
Alma,37,Fleurs Séchées,Vert - L'Entre Deux,Hybride
Alma,37,Fleurs Séchées,Vert - Scout 91K,Hybride
Alma,37,Fleurs Séchées,Vertical 7 - Fruity Pebbles OG,Hybride
Alma,37,Fleurs Séchées,Vertical 7 - SuperBoof,Hybride
Alma,37,Fleurs Séchées,Wio - Sour Tsunami CBD Biologique,Hybride
Alma,37,Fleurs Séchées,Wio - Super Lemon Haze Biologique,Sativa
Alma,37,Fleurs Séchées,Wio - Top Cola AAAA,Sativa
Alma,37,Fleurs Séchées,Wô Là - Black Cherry Punch,Indica
Alma,37,Fleurs Séchées,Wô Là - Ultra Jean-G,Sativa
Alma,37,Fleurs Séchées,XoPro - Time Wreck,Sativa
Alma,37,Haschich,1964 - Haschich Libanais,Dérivés
Alma,37,Haschich,5 Points Cannabis - Hasch de Zsweet,Dérivés
Alma,37,Haschich,Be Humble. - Hasch de Raisins,Dérivés
Alma,37,Haschich,Blanh - Style 1980,Dérivés
Alma,37,Haschich,Blanh - Style Afghan,Dérivés
Alma,37,Haschich,Bleuh - H29 Old School,Dérivés
Alma,37,Haschich,Bleuh Light - H4 Old School,Dérivés
Alma,37,Haschich,Fleurs de Lise - Tire-Toi une Bûche,Dérivés
Alma,37,Haschich,Good Supply - Bon Vieux Hash,Dérivés
Alma,37,Haschich,Hexo - Hasch Atlantide,Dérivés
Alma,37,Haschich,Lot 420 - Le Bloc 33,Dérivés
Alma,37,Haschich,MTL Cannabis - Sage N' Sour Haschich,Dérivés
Alma,37,Haschich,MTL Cannabis - Wes' Coast Kush,Dérivés
Alma,37,Haschich,Nordique Royale - Afghan Gold,Dérivés
Alma,37,Haschich,Nugz - Drip N' Jiggle Old School,Dérivés
Alma,37,Haschich,Nugz - Galactic Brger Old School Hash,Dérivés
Alma,37,Haschich,Nugz - Ice Water Hash,Dérivés
Alma,37,Haschich,Nugz - Old School Hash,Dérivés
Alma,37,Haschich,OMY - Crumbled Lime Style Pressé,Dérivés
Alma,37,Haschich,Ouh La La - Pépites,Dérivés
Alma,37,Haschich,R'Belle - Louvre,Dérivés
Alma,37,Haschich,ShredX Rip Strip Hash - Citrique Électrique,Dérivés
Alma,37,Haschich,Tam Tams - Tropical Milk,Dérivés
Alma,37,Haschich,Terroir - Royal Gorilla,Dérivés
Alma,37,Haschich,Terroir - Sour Bread,Dérivés
Alma,37,Haschich,Tremblant Cannabis - Haschich,Dérivés
Alma,37,Haschich,Vert - Hachisch Afghan Équilibré,Dérivés
Alma,37,Haschich,Wô Là par Tremblant Hasch - Haschich Pressé,Dérivés
Alma,37,Haschich,XK - Haschtag Classique,Dérivés
Alma,37,Haschich,XK - Haschtag Hash de Noé,Dérivés
Alma,37,Moulu,Bleuh Light - CBD à la Lime,Hybride
Alma,37,Moulu,Grindh - H27 Indica,Indica
Alma,37,Moulu,Grindh - H27 Sativa,Sativa
Alma,37,Moulu,Irony - Mouture 2.0,Hybride
Alma,37,Moulu,La Batch - Citron XXX,Mélange
Alma,37,Moulu,Nugz - Drip N' Jiggle Grind,Hybride
Alma,37,Moulu,Pure Laine Cannabis - La Moulinette,Mélange
Alma,37,Moulu,Saturday - Tropical and Twisted,Mélange
Alma,37,Moulu,Shred - Citrique électrique,Sativa
Alma,37,Moulu,XK - MiXK,Mélange
Alma,37,Pré-Roulés,1964 - Bleu Nuit,Sativa
Alma,37,Pré-Roulés,5 Points Cannabis - Le Coffret 5 Points,Mélange
Alma,37,Pré-Roulés,5 Points Cannabis - Purple Haze,Sativa
Alma,37,Pré-Roulés,514 - Sativa X30,Sativa
Alma,37,Pré-Roulés,7ACRES - Jack Haze,Sativa
Alma,37,Pré-Roulés,BLKMKT - LA WoMac,Indica
Alma,37,Pré-Roulés,Back Forty - Wedding Pie,Indica
Alma,37,Pré-Roulés,Blakh - H30 Haze,Sativa
Alma,37,Pré-Roulés,Blanh - Blanh Sativa,Sativa
Alma,37,Pré-Roulés,Bleuh - Drette Indica,Indica
Alma,37,Pré-Roulés,Bleuh Light - Colorado Cherry,Sativa
Alma,37,Pré-Roulés,Bud Lafleur - Banana Daddy,Indica
Alma,37,Pré-Roulés,Bud Lafleur - Moby Dick,Hybride
Alma,37,Pré-Roulés,Canaca - Explosion de Fruits,Sativa
Alma,37,Pré-Roulés,Carmel Cannabis - Kush Life,Indica
Alma,37,Pré-Roulés,Clem et Co - Apricot Cream and Cheese 1:1,Hybride
Alma,37,Pré-Roulés,Color Cannabis - Blueberry Seagal,Indica
Alma,37,Pré-Roulés,Color Cannabis - Mango Haze,Hybride
Alma,37,Pré-Roulés,DLYS - Artisans,Hybride
Alma,37,Pré-Roulés,Daily Special - Sativa Js,Sativa
Alma,37,Pré-Roulés,Fleurons - Méchant Pétard,Indica
Alma,37,Pré-Roulés,Fleurs de Lise - La Cerise sur le Funday,Sativa
Alma,37,Pré-Roulés,Fleurs de Lise - Le Passe Partout,Sativa
Alma,37,Pré-Roulés,Good Supply - Jean Guy,Sativa
Alma,37,Pré-Roulés,Green Joy - Lemon Pepper Punch,Sativa
Alma,37,Pré-Roulés,Green Joy - Mango Cheese,Sativa
Alma,37,Pré-Roulés,Grindh - H27 Sativa,Sativa
Alma,37,Pré-Roulés,Groupe SûrNaturel - Velvet Punch Haze,Hybride
Alma,37,Pré-Roulés,Irony - Blueberry Muffin,Indica
Alma,37,Pré-Roulés,Irony - Candyland,Sativa
Alma,37,Pré-Roulés,Irony - Petit-Pétard,Mélange
Alma,37,Pré-Roulés,Irony - Trio Beau-Pétard,Mélange
Alma,37,Pré-Roulés,La Plogue - Sour Grape,Hybride
Alma,37,Pré-Roulés,LaHoja - Grape Octane,Indica
Alma,37,Pré-Roulés,Lunaire - Les Gros CBDs,Hybride
Alma,37,Pré-Roulés,MTL Cannabis - Strawberry N' Mintz,Sativa
Alma,37,Pré-Roulés,MTL Cannabis - Wes' Coast Kush,Indica
Alma,37,Pré-Roulés,Nueva+ - Banane Plantée,Sativa
Alma,37,Pré-Roulés,Nueva+ - Complice,Hybride
Alma,37,Pré-Roulés,Nueva+ - Le Fameux,Sativa
Alma,37,Pré-Roulés,Nueva+ - Rêve Lucide,Sativa
Alma,37,Pré-Roulés,Nugz - Early Lemon Berry,Sativa
Alma,37,Pré-Roulés,Nugz - Nugz Wrap Indica,Indica
Alma,37,Pré-Roulés,Nugz - Nugz Wrap Sativa,Sativa
Alma,37,Pré-Roulés,Ono Cannabis - Ono Astrono,Sativa
Alma,37,Pré-Roulés,Ono Cannabis - Ono Kongz,Indica
Alma,37,Pré-Roulés,Ono Cannabis - Ono Planet of the grapes,Indica
Alma,37,Pré-Roulés,Orchid - CBD Runtz,Hybride
Alma,37,Pré-Roulés,Pecko - Death Bubba Biologique,Indica
Alma,37,Pré-Roulés,Promenade - Blue Dream,Sativa
Alma,37,Pré-Roulés,Promenade - Pink God,Indica
Alma,37,Pré-Roulés,Pure Laine - Pineapple OG,Sativa
Alma,37,Pré-Roulés,Pure Laine Cannabis - Special Haze,Sativa
Alma,37,Pré-Roulés,Pure Laine Cannabis - Suzettes,Mélange
Alma,37,Pré-Roulés,R'Belle - Bastille,Indica
Alma,37,Pré-Roulés,Redecan - Animal Rntz Redees Hemp'd,Indica
Alma,37,Pré-Roulés,Redecan - Cold Creek Kush Redees Hemp'd,Sativa
Alma,37,Pré-Roulés,Redecan - Purple Churro Classique,Sativa
Alma,37,Pré-Roulés,San Rafael '71 - Chemango Kush,Indica
Alma,37,Pré-Roulés,San Rafael '71 - Pink Kush,Indica
Alma,37,Pré-Roulés,San Rafael '71 - Strawberry Sensi,Sativa
Alma,37,Pré-Roulés,San Rafael '71 - Tangerine Dream,Sativa
Alma,37,Pré-Roulés,Sheeesh - Slush P,Hybride
Alma,37,Pré-Roulés,Sheeesh - Trop Juice,Hybride
Alma,37,Pré-Roulés,Shred - Bête de Diesel,Indica
Alma,37,Pré-Roulés,Shred - Citrique Électrique,Sativa
Alma,37,Pré-Roulés,Shred Tubes - Toute Garnie,Hybride
Alma,37,Pré-Roulés,Solei - Équilibre Pur,Mélange
Alma,37,Pré-Roulés,Sonique - Blue Monster,Indica
Alma,37,Pré-Roulés,Spinach - Spinach Vanilla Kush,Indica
Alma,37,Pré-Roulés,T'es Dans L'Champ - Grasse Matinée,Hybride
Alma,37,Pré-Roulés,Terroir - C99,Sativa
Alma,37,Pré-Roulés,Tribal - Bubble Up,Indica
Alma,37,Pré-Roulés,Tribal - Cuban Linx,Hybride
Alma,37,Pré-Roulés,Tribal - Gelato Mint,Indica
Alma,37,Pré-Roulés,Tribal - Neon Sunshine,Hybride
Alma,37,Pré-Roulés,Twd. - Twd. Balanced,Hybride
Alma,37,Pré-Roulés,Vert - CBD OG Kush,Indica
Alma,37,Pré-Roulés,Vertical 7 - Purple Gushrs LSO,Sativa
Alma,37,Pré-Roulés,Weed Me - Goliat,Sativa
Alma,37,Pré-Roulés,Wio - Frozen Lemon Biologique,Sativa
Alma,37,Pré-Roulés,Wio - Super Lemon Haze Biologique,Sativa
Alma,37,Pré-Roulés,Wô Là - Black Cherry Punch,Indica
Alma,37,Pré-Roulés,Wô Là - Ultra Sour,Sativa
Amqui,2274,Fleurs Séchées,1964 - Bleu Nuit,Sativa
Amqui,2274,Fleurs Séchées,1964 - Comatose,Indica
Amqui,2274,Fleurs Séchées,1964 - OG Kush,Indica
Amqui,2274,Fleurs Séchées,5 Points Cannabis - Blueberry Yum Yum,Sativa
Amqui,2274,Fleurs Séchées,Back Forty - Fire Breath,Indica
Amqui,2274,Fleurs Séchées,Bake Sale - Fleurs Tout Usage,Mélange
Amqui,2274,Fleurs Séchées,Big Bag O'Buds - Amnesia OG,Sativa
Amqui,2274,Fleurs Séchées,Blakh - H30 Haze,Sativa
Amqui,2274,Fleurs Séchées,Blakh - H30 Kush,Indica
Amqui,2274,Fleurs Séchées,Blanh - Blanh Hybride,Hybride
Amqui,2274,Fleurs Séchées,Bud Lafleur - Banana Daddy,Indica
Amqui,2274,Fleurs Séchées,Bud Lafleur - Lava Cake,Indica
Amqui,2274,Fleurs Séchées,Carmel Cannabis - Animal Face,Sativa
Amqui,2274,Fleurs Séchées,Cheers Cannabis - Chem Cookies #44,Indica
Amqui,2274,Fleurs Séchées,Clair de Lune - Dark Shadow Haze,Sativa
Amqui,2274,Fleurs Séchées,Clair de Lune - GG,Hybride
Amqui,2274,Fleurs Séchées,Endo - Purple Mountain Majesty,Hybride
Amqui,2274,Fleurs Séchées,Fleurons - Menu Cantine,Indica
Amqui,2274,Fleurs Séchées,Fleurs de Lise - Ben Trop,Hybride
Amqui,2274,Fleurs Séchées,Fleurs de Lise - L'Bon Voisin,Sativa
Amqui,2274,Fleurs Séchées,Fleurs de Lise - La Cerise sur le Funday,Sativa
Amqui,2274,Fleurs Séchées,Goldh - Kik Cola,Hybride
Amqui,2274,Fleurs Séchées,Good Supply - Grand Daddy Purps,Indica
Amqui,2274,Fleurs Séchées,Good Supply - Jean Guy,Sativa
Amqui,2274,Fleurs Séchées,Good Supply - Sweet Berry Kush,Indica
Amqui,2274,Fleurs Séchées,Green Joy - Grape Yogurt,Hybride
Amqui,2274,Fleurs Séchées,Hatrick - Meat Breath,Indica
Amqui,2274,Fleurs Séchées,Hexo - Lemon Haze,Sativa
Amqui,2274,Fleurs Séchées,Highly Dutch Organic - Amsterdam Sativa,Sativa
Amqui,2274,Fleurs Séchées,Kokotte - Mango K,Sativa
Amqui,2274,Fleurs Séchées,Le Malin Vert - Alien Kush AAA,Indica
Amqui,2274,Fleurs Séchées,Lot 420 - Gelato 33,Hybride
Amqui,2274,Fleurs Séchées,Maitri - Purple Mint Cake,Indica
Amqui,2274,Fleurs Séchées,Nugz - Early Lemon Berry,Sativa
Amqui,2274,Fleurs Séchées,Nugz - Nugz Sativa,Sativa
Amqui,2274,Fleurs Séchées,OMY - Kush Cookies,Indica
Amqui,2274,Fleurs Séchées,OMY - Ça Sent l'Gaz,Indica
Amqui,2274,Fleurs Séchées,Orchid - CBD Runtz,Hybride
Amqui,2274,Fleurs Séchées,Ostara - Long Valley Legend,Hybride
Amqui,2274,Fleurs Séchées,Pecko - Le P'tit Phéno CBD,Sativa
Amqui,2274,Fleurs Séchées,Pecko - Le P'tit Phéno Indica,Indica
Amqui,2274,Fleurs Séchées,Pistol and Paris - Pink Panties,Indica
Amqui,2274,Fleurs Séchées,Promenade - Afghan Kush,Indica
Amqui,2274,Fleurs Séchées,Promenade - Berry Cream Puff,Sativa
Amqui,2274,Fleurs Séchées,Promenade - Harlequin 1:1,Hybride
Amqui,2274,Fleurs Séchées,Promenade - Pine Tar Kush,Indica
Amqui,2274,Fleurs Séchées,Promenade - Sour Tangie,Sativa
Amqui,2274,Fleurs Séchées,Promenade - Tropicali 1:1,Sativa
Amqui,2274,Fleurs Séchées,Pure Laine - Island Pink Kush,Indica
Amqui,2274,Fleurs Séchées,Pure Laine - Mango Widow,Sativa
Amqui,2274,Fleurs Séchées,Pure Laine - Pineapple OG,Sativa
Amqui,2274,Fleurs Séchées,Pure Laine Cannabis - Gros Plaisirs,Hybride
Amqui,2274,Fleurs Séchées,Pure Trichomes x Velada - Painted Lady,Sativa
Amqui,2274,Fleurs Séchées,QcGoldtech - Pure Kush,Indica
Amqui,2274,Fleurs Séchées,R'Belle - Avignon,Indica
Amqui,2274,Fleurs Séchées,R'Belle - Bastille,Indica
Amqui,2274,Fleurs Séchées,San Rafael '71 - Pink Kush,Indica
Amqui,2274,Fleurs Séchées,San Rafael '71 - Tangerine Dream,Sativa
Amqui,2274,Fleurs Séchées,Seaweed - Red Velvet Ice Cream,Hybride
Amqui,2274,Fleurs Séchées,Simply Bare - BC Bubba Pink Biologique,Indica
Amqui,2274,Fleurs Séchées,Simply Bare - BC Frosted Fruit Cake Bio,Indica
Amqui,2274,Fleurs Séchées,Solei - Libérer,Sativa
Amqui,2274,Fleurs Séchées,Spinach - Spinach GMO Cookies,Indica
Amqui,2274,Fleurs Séchées,Spinach - Spinach Lemon Skunk,Sativa
Amqui,2274,Fleurs Séchées,Sumo - Mac Deluxe,Indica
Amqui,2274,Fleurs Séchées,Sumo - Papaya Bomb,Indica
Amqui,2274,Fleurs Séchées,Sweetgrass Cannabis - Mint Chocolate Chip Biologique,Hybride
Amqui,2274,Fleurs Séchées,T'es Dans L'Champ - Aweille Réveille,Sativa
Amqui,2274,Fleurs Séchées,T'es Dans L'Champ - Dans le Divan,Indica
Amqui,2274,Fleurs Séchées,T'es Dans L'Champ - Grasse Matinée,Hybride
Amqui,2274,Fleurs Séchées,T'es Dans L'Champ - Ça Varie CBD,Hybride
Amqui,2274,Fleurs Séchées,The Loud Plug - Exotic Gas,Indica
Amqui,2274,Fleurs Séchées,Trailblazer - Apples & Cream,Sativa
Amqui,2274,Fleurs Séchées,Tribal - Cuban Linx,Hybride
Amqui,2274,Fleurs Séchées,Tribal - Gelato Mint,Indica
Amqui,2274,Fleurs Séchées,Tribal - Neon Sunshine,Hybride
Amqui,2274,Fleurs Séchées,Tweed - Duplex,Mélange
Amqui,2274,Fleurs Séchées,Vert - CBD OG Kush,Indica
Amqui,2274,Fleurs Séchées,Wio - Super Lemon Haze Biologique,Sativa
Amqui,2274,Fleurs Séchées,Wio - Top Cola AAAA,Sativa
Amqui,2274,Fleurs Séchées,Wô Là - Black Cherry Punch,Indica
Amqui,2274,Fleurs Séchées,Wô Là - Ultra Jean-G,Sativa
Amqui,2274,Fleurs Séchées,XoPro - Time Wreck,Sativa
Amqui,2274,Haschich,1964 - Haschich Libanais,Dérivés
Amqui,2274,Haschich,7ACRES - Joints de Haschich,Dérivés
Amqui,2274,Haschich,Be Humble. - Hasch de Raisins,Dérivés
Amqui,2274,Haschich,Blanh - Style Afghan,Dérivés
Amqui,2274,Haschich,Bleuh Light - H4 Old School,Dérivés
Amqui,2274,Haschich,Fleurs de Lise - Tire-Toi une Bûche,Dérivés
Amqui,2274,Haschich,Good Supply - Bon Vieux Hash,Dérivés
Amqui,2274,Haschich,Hexo - Hasch Atlantide,Dérivés
Amqui,2274,Haschich,Lot 420 - Le Bloc 33,Dérivés
Amqui,2274,Haschich,MTL Cannabis - Wes' Coast Kush,Dérivés
Amqui,2274,Haschich,Nugz - Galactic Brger Old School Hash,Dérivés
Amqui,2274,Haschich,Nugz - Ice Water Hash,Dérivés
Amqui,2274,Haschich,Nugz - Old School Hash,Dérivés
Amqui,2274,Haschich,R'Belle - Louvre,Dérivés
Amqui,2274,Haschich,Terroir - Hash Painted Lady,Dérivés
Amqui,2274,Haschich,Tremblant Cannabis - Haschich,Dérivés
Amqui,2274,Haschich,Vert - Hachisch Afghan Équilibré,Dérivés
Amqui,2274,Haschich,Wô Là par Tremblant Hasch - Haschich Pressé,Dérivés
Amqui,2274,Haschich,XK - Haschtag Classique,Dérivés
Amqui,2274,Moulu,Bleuh Light - CBD à la Lime,Hybride
Amqui,2274,Moulu,Grindh - H27 Indica,Indica
Amqui,2274,Moulu,Grindh - H27 Sativa,Sativa
Amqui,2274,Moulu,La Batch - Citron XXX,Mélange
