Request_ID,Sample_Received_Date,Number_of_Tests,Test_Type,Test_Names,Final_CofA_Date,Revenue
d272fd0c-294d-43c2-9178-b719d9f18e23,08/04/2023,4,Microbiology,"Pseudomonas aeruginosa, Total Coliforms, Enterococci, Heterotrophic Plate Count",08/12/2023,686.48
a2573ff6-fa60-4b7a-9089-0b2f3344eb82,03/15/2024,4,Microbiology,"Total Coliforms, Heterotrophic Plate Count, Clostridium perfringens, E. coli",03/31/2024,361.22
e1e6e92b-d0e8-4bcb-86ee-918d9e5691b4,2024/10/30,7,Microbiology,"Cryptosporidium, Enterococci, Heterotrophic Plate Count, Legionella, Total Coliforms, E. coli, Giardia",2024/11/03,1571.03
6d06c1ad-2d96-4a0b-8387-babff5ff918a,01.30.2024,1,Microbiology,Enterococci,02/14/2024,105.37
31fcb046-d1e8-4722-be98-28ac42cc464a,03/08/2024,1,Microbiology,Total Coliforms,04/07/2024,159.9
151fab2a-ca1a-4687-b736-93e7fa8f06f5,05/04/2024,8,Microbiology,NaN,05/21/2024,1873.55
ae692891-9ae4-4c15-a5df-4691d30039a0,09/26/2023,5,Chemistry,"Sulfate, Chloride, Nitrate, Turbidity, Hardness",10/23/2023,683.85
9e8134a0-0c3b-4a56-ba02-ec287ff7dcd7,01/11/2023,1,Chemisty,Phosphate,01/31/2023,85.9
f5a86c8b-8977-4ca4-9481-fa1fd4a61f92,07/12/2024,6,Microbiology,"Cryptosporidium, Legionella, Heterotrophic Plate Count, Enterococci, Total Coliforms, Fecal Streptococci",07/29/2024,629.45
e5ead67a-ebf6-4423-b293-8f223d536de7,03/09/2024,4,Chemistry,"pH, Phosphate, Heavy Metals, TOC",03/13/2024,1142.02
81629d37-fa1e-43c9-905a-34ae0f7e7381,02/17/2025,4,Chemistry,"Turbidity, Hardness, Chloride, Alkalinity",03/09/2025,411.31
2c80d4b8-cada-4d9f-8d26-f2023b6aaf06,01/19/2025,8,Chemistry,"Turbidity, Heavy Metals, Nitrate, Phosphate, pH, Alkalinity, TOC, Hardness",02/16/2025,1709.06
7c07f01e-e36b-4cdd-9bc9-e3e5eb8a6162,11/12/2023,8,Chemistry,"Phosphate, Hardness, pH, Alkalinity, TOC, Sulfate, Nitrate, Heavy Metals",11/20/2023,1721.79
c382377a-ca83-482a-9e9c-69054398a6e4,05/25/2023,6,Chemistry,"Heavy Metals, Hardness, TOC, Nitrate, Sulfate, Chloride",06/03/2023,715.76
8cbc280e-4d7d-46f2-9d99-b28120b7128d,12/02/2023,10,Microbiology,"Total Coliforms, Fecal Streptococci, Heterotrophic Plate Count, Pseudomonas aeruginosa, Giardia, Cryptosporidium, Enterococci, Clostridium perfringens, E. coli, Legionella",NaN,1478.32
14f3b466-ff1e-4bdf-85e2-c61a79822eb1,06/22/2023,2,Microbiology,"Clostridium perfringens, Cryptosporidium",07/06/2023,509.35
64c8ceb2-cfdd-40db-8279-87ad1df468bc,12/15/2024,4,Chemistry,"Turbidity, Hardness, Chloride, Nitrate",12/19/2024,628.33
c7e9cea4-d956-48b1-80c4-048707899f58,05/11/2024,6,Microbiology,NaN,05/22/2024,1457.77
fab6773a-2181-4a0a-bc45-ed214b17d875,06/11/2024,7,Microbiology,"Enterococci, Heterotrophic Plate Count, Fecal Streptococci, Clostridium perfringens, Cryptosporidium, Legionella, Total Coliforms",07/02/2024,1854.13
874b62ea-b5bd-4b90-8883-56f9b3c87bdf,04/15/2025,6,Chemistry,"Hardness, Heavy Metals, Chloride, Nitrate, Alkalinity, Phosphate",04/21/2025,520.19
49450913-a979-45a0-9fd6-0bab7c0e9048,09/23/2024,10,Microbiology,"Legionella, Clostridium perfringens, Pseudomonas aeruginosa, Giardia, Enterococci, E. coli, Heterotrophic Plate Count, Total Coliforms, Cryptosporidium, Fecal Streptococci",10/16/2024,1303.25
36db4a99-8d5f-4598-b9bf-cdd4a0631151,03/21/2023,4,Microbiology,"Enterococci, Total Coliforms, Fecal Streptococci, Pseudomonas aeruginosa",04/19/2023,689.36
eff0cf5c-0ba2-449e-b431-cd1408c7d6b4,09/06/2024,9,Chemistry,"Sulfate, pH, Hardness, TOC, Heavy Metals, Chloride, Turbidity, Nitrate, Alkalinity",09/29/2024,2083.75
aca3599d-807d-49ab-827f-f8de7425a8e4,03/27/2024,7,Microbiology,"Clostridium perfringens, E. coli, Enterococci, Heterotrophic Plate Count, Cryptosporidium, Legionella, Pseudomonas aeruginosa",04/05/2024,1962.64
7d3ca655-156c-407d-893d-cdb530f2c817,05/11/2024,6,Chemistry,"pH, Chloride, Hardness, Heavy Metals, TOC, Alkalinity",06/02/2024,1117.69
fc3f393d-3113-42c5-ad85-c3ffdad7ed0c,01/07/2025,10,Chemistry,"TOC, Nitrate, pH, Phosphate, Alkalinity, Sulfate, Hardness, Chloride, Turbidity, Heavy Metals",NaN,1708.2
1ccb0044-cee8-4253-80a9-10c669010c47,05/16/2024,8,Microbiology,"Cryptosporidium, Giardia, Total Coliforms, Legionella, Fecal Streptococci, Clostridium perfringens, E. coli, Pseudomonas aeruginosa",05/28/2024,764.84
88c010b1-df25-4276-9cb2-b92eb16caf82,10/05/2024,9,Chemistry,"Turbidity, Sulfate, Heavy Metals, Hardness, Chloride, Phosphate, pH, Nitrate, Alkalinity",10/14/2024,766.99
99f77f97-82d7-496a-837d-2cd5677645bb,01/04/2025,5,Chemistry,"Turbidity, Sulfate, Chloride, Hardness, TOC",01/13/2025,1296.51
6a44b559-fa1c-48ea-8277-1c9aeb94f771,07/27/2023,5,Microbiology,"E. coli, Cryptosporidium, Pseudomonas aeruginosa, Total Coliforms, Giardia",07.30.2023,1387.38
4aa5f5cf-c7d3-431e-b68c-88570e293cec,01/28/2023,10,Microbiology,"E. coli, Total Coliforms, Enterococci, Fecal Streptococci, Legionella, Cryptosporidium, Giardia, Heterotrophic Plate Count, Clostridium perfringens, Pseudomonas aeruginosa",02/03/2023,2266.14
2a8635bf-5645-4318-a3e2-88951bedf664,04/09/2023,4,Chemistry,"Chloride, pH, Alkalinity, TOC",04/17/2023,322.83
b26b587d-2f40-4511-87fe-bc5c337001a3,10/24/2023,3,chemistry,"Turbidity, Chloride, Alkalinity",11/09/2023,584.63
26981b3b-9ecb-4210-bc6f-69c71aa3a44f,01/27/2024,6,Chemistry,"TOC, Hardness, Chloride, Nitrate, Alkalinity, Phosphate",02/01/2024,1204.68
2b971437-14a7-4d56-b117-c96a108074f6,03/09/2024,9,Microbiology,"Giardia, Legionella, Cryptosporidium, Heterotrophic Plate Count, Total Coliforms, Enterococci, E. coli, Pseudomonas aeruginosa, Clostridium perfringens",03/28/2024,2408.99
6323eaff-b317-44d8-acf1-f97a405c09cc,04/11/2024,6,Chemistry,"TOC, Phosphate, Nitrate, Chloride, Heavy Metals, Turbidity",04/30/2024,1462.93
a16a5c73-e899-486c-9e4f-6edc8310cdb0,06/01/2023,9,Chemistry,"Turbidity, TOC, Nitrate, pH, Hardness, Heavy Metals, Alkalinity, Sulfate, Chloride",06/18/2023,1297.88
adcf64fe-d893-4924-8809-77dfe76d598b,04/09/2023,4,Microbiology,"Clostridium perfringens, Giardia, Fecal Streptococci, Cryptosporidium",NaN,839.09
111723b0-879c-4396-9ece-5ac86fedf44a,01/09/2025,2,Chemistry,"Phosphate, Chloride",01/13/2025,212.48
f8f52738-8670-42ba-a0c2-bc126b077c88,03/31/2023,9,Chemistry,"Hardness, pH, Nitrate, Alkalinity, Turbidity, Chloride, Heavy Metals, Sulfate, Phosphate",04/15/2023,1848.09
2e4c6555-7d50-4494-b14e-9973be96d44c,01/24/2024,10,Chemistry,"Chloride, Sulfate, Turbidity, Nitrate, Hardness, Alkalinity, Phosphate, Heavy Metals, TOC, pH",NaN,1689.02
bfc3d7e2-5997-42eb-abce-903a1be979fb,11/18/2023,3,Microbiology,"E. coli, Fecal Streptococci, Cryptosporidium",11/25/2023,488.32
77ee13b9-c611-4b7f-b529-84c4786840d9,09/01/2024,7,Chemistry,"Turbidity, Sulfate, Alkalinity, Chloride, TOC, Hardness, Nitrate",09/07/2024,587.22
4d3c4cba-1bc7-424e-b4b4-133c5e4fb1c8,02/09/2023,6,Microbiology,"E. coli, Fecal Streptococci, Giardia, Cryptosporidium, Pseudomonas aeruginosa, Total Coliforms",03/07/2023,1445.39
14603221-f1ef-42d4-8a3b-a86be0a83706,08/23/2023,10,Chemistry,NaN,09/02/2023,5000
afa79399-0fee-480c-974f-9926d6dd52e7,03/08/2024,8,Chemistry,NaN,03/14/2024,1593.28
c42a3d08-062d-4962-8824-3bc65c15f2e7,10/06/2024,2,Chemistry,"Turbidity, Chloride",10/17/2024,476.35
b09b179a-be76-4946-a7ea-c9bd9ae3ce05,11/19/2024,10,Chemistry,"Sulfate, pH, Alkalinity, TOC, Hardness, Nitrate, Phosphate, Turbidity, Chloride, Heavy Metals",11/24/2024,882.56
032f4b96-958f-40f9-b7a6-4cd060a69cbe,08/23/2023,2,Microbiology,"Legionella, Total Coliforms",08/28/2023,468.54
efaaba43-0b94-4543-9bc3-94c27bdd44ee,01/24/2024,3,Chemistry,"Nitrate, Alkalinity, Heavy Metals",02/12/2024,751.65
1c33371f-e5c2-4e39-a233-21a1f9644945,03/10/2023,1,Microbiology,Enterococci,03/19/2023,278.22
84f47652-ab9f-43cc-93cf-b9cedafa9857,08/05/2024,5,Chemistry,"pH, Turbidity, Phosphate, Heavy Metals, Nitrate",08/13/2024,1282.3
7d85cc08-efaf-4568-ab17-02e8b8ebd163,04/10/2023,9,Chemistry,"pH, Chloride, Heavy Metals, Turbidity, Nitrate, TOC, Alkalinity, Phosphate, Sulfate",04/28/2023,1946.81
6fc7566c-20af-469e-968a-e4f27a4a1e23,06/18/2024,6,Microbiology,"Pseudomonas aeruginosa, Giardia, Heterotrophic Plate Count, Cryptosporidium, Enterococci, Total Coliforms",07/08/2024,1069.7
c678d76f-40f3-4390-ab6b-d10d70ad88ca,08/17/2023,8,Microbiology,"E. coli, Giardia, Total Coliforms, Enterococci, Clostridium perfringens, Pseudomonas aeruginosa, Fecal Streptococci, Heterotrophic Plate Count",08/22/2023,1376.2
fa17a17e-b0ba-44c3-b93e-c823aee719f8,08/10/2023,6,Microbiology,"Enterococci, Fecal Streptococci, Legionella, Giardia, Cryptosporidium, E. coli",NaN,1473.99
7c3c31aa-1d69-4499-abbb-90f8bb5b3e35,08/06/2024,3,Chemistry,"Sulfate, Nitrate, Hardness",08/18/2024,886.89
3716148c-cf17-45a7-802c-a4676c23d4c3,04/23/2024,4,Microbiology,"Heterotrophic Plate Count, Enterococci, Total Coliforms, Giardia",05/10/2024,1124.75
17db4ef0-1b26-4029-bd6d-1e9e1f7e3fcf,01/28/2025,4,Microbiology,"Legionella, Pseudomonas aeruginosa, Clostridium perfringens, Total Coliforms",02/25/2025,5000
b563283c-16b8-4e07-ad4c-36209961f50c,06/30/2023,2,Microbiology,"Clostridium perfringens, Legionella",07/23/2023,523.1
4389f36e-5188-4495-976b-58dbb821efab,01/11/2025,5,Chemistry,"pH, TOC, Heavy Metals, Chloride, Alkalinity",01/28/2025,1395.4
bc6a63b4-fbe3-4400-8254-e80a2bf3fee2,10/28/2024,10,Chemistry,"Phosphate, Heavy Metals, Hardness, Turbidity, Chloride, Alkalinity, pH, Nitrate, TOC, Sulfate",11/20/2024,1878.94
f0f0970b-648a-4802-a30b-1d7e89a384cc,02/02/2023,7,Microbiology,NaN,02/22/2023,625.18
5cb0e49d-5ced-45f9-974e-28dba35849d9,12/11/2023,5,Chemistry,"TOC, Chloride, Alkalinity, Nitrate, Hardness",12/22/2023,660.17
c494a617-c6fe-49fd-856e-034580ae9db4,03/23/2024,3,Microbiology,"Pseudomonas aeruginosa, Clostridium perfringens, Heterotrophic Plate Count",04/14/2024,630.23
9387403a-0ee2-4657-8cf0-826ae89731be,10/08/2023,7,Chemistry,"Hardness, pH, Sulfate, Turbidity, Chloride, Phosphate, Nitrate",11/04/2023,1373.72
ee0dac6a-2918-4d57-981f-2751793db5b7,02/07/2023,9,Chemistry,"TOC, Heavy Metals, Hardness, Nitrate, Turbidity, Alkalinity, Chloride, pH, Phosphate",02/24/2023,1951.69
75fb3429-b7ed-42a4-9d6a-e0ef03a3b774,04/13/2025,4,Chemistry,"pH, Sulfate, Chloride, Alkalinity",04/29/2025,5000
4e42a035-d870-46aa-baa1-353c32f93e6e,03/02/2025,1,Chemistry,Phosphate,03/14/2025,184.29
740f02be-bf53-4385-9e36-48721cd666f4,06/01/2024,2,Microbiology,"Enterococci, Heterotrophic Plate Count",06/17/2024,419.73
4c499e8e-8c4c-4c0e-b951-274e09f88ad9,10/17/2023,6,Chemistry,"Sulfate, Phosphate, Turbidity, TOC, Nitrate, pH",NaN,1083.26
35cfedcd-0aab-44a9-9817-a4bf05cafbd7,02/11/2024,4,Microbiology,"Pseudomonas aeruginosa, Legionella, Heterotrophic Plate Count, Giardia",02/21/2024,761.65
7e126d3f-4ff9-403f-8934-7b8a1dde6ecf,11/02/2024,10,Microbiology,"Clostridium perfringens, E. coli, Enterococci, Heterotrophic Plate Count, Legionella, Cryptosporidium, Total Coliforms, Giardia, Pseudomonas aeruginosa, Fecal Streptococci",11/29/2024,1204.63
3a3fffa1-50d6-48f7-8969-7c8c1ff5403f,08/03/2023,2,Microbiology,"Total Coliforms, Heterotrophic Plate Count",08/13/2023,311.19
409d7e5a-6232-40e5-a7bf-a8843de39a29,09/13/2023,1,Microbiology,Enterococci,09/21/2023,213.04
cd35f665-4e24-421f-9f9a-ccc1d4bb8cc6,11/18/2023,8,Microbiology,"Giardia, E. coli, Fecal Streptococci, Pseudomonas aeruginosa, Clostridium perfringens, Heterotrophic Plate Count, Legionella, Total Coliforms",11/28/2023,1897.86
2e04e23e-ca3f-42f5-af37-593235ecbe7f,03/22/2025,9,Chemistry,"Heavy Metals, Phosphate, Hardness, Alkalinity, Chloride, Nitrate, pH, Turbidity, TOC",04/03/2025,1969.97
dd4cf127-d9db-49cb-993a-9f6d1be5d737,06/03/2023,9,Microbiology,"Cryptosporidium, Pseudomonas aeruginosa, Heterotrophic Plate Count, E. coli, Fecal Streptococci, Enterococci, Legionella, Total Coliforms, Giardia",06/14/2023,1318.08
8ada5b85-f289-415e-a8c2-65fabe891414,06/11/2023,5,Microbiology,"Giardia, Fecal Streptococci, Heterotrophic Plate Count, E. coli, Total Coliforms",06/21/2023,1255.81
4a4efe4c-c082-419d-8712-6f583689384f,02/25/2023,7,Microbiology,"Legionella, Total Coliforms, Pseudomonas aeruginosa, Fecal Streptococci, Giardia, E. coli, Enterococci",03/26/2023,605.35
10ea27cc-1325-4b7d-80b2-9d3117e14bb2,12/18/2023,7,Chemistry,"pH, Alkalinity, Hardness, Turbidity, Nitrate, TOC, Chloride",01/17/2024,709.53
46a5b9ce-675e-40c0-a038-ab1855107a84,01/31/2023,8,Microbiology,"Heterotrophic Plate Count, Fecal Streptococci, Enterococci, Giardia, Clostridium perfringens, Cryptosporidium, Pseudomonas aeruginosa, E. coli",02/12/2023,1430.8
938b6afa-96ce-4af3-b89c-46734385c3d3,09/17/2024,8,Chemistry,"Heavy Metals, Chloride, Hardness, TOC, Turbidity, Alkalinity, Sulfate, Nitrate",NaN,2046.49
4117da0a-c9e0-4d7e-8ee7-1121bf3e2143,08/23/2024,6,Microbiology,"Legionella, Giardia, Heterotrophic Plate Count, E. coli, Pseudomonas aeruginosa, Enterococci",09/02/2024,1641.29
1c2167d8-72e0-4a3a-ac7f-4c059c3da94d,10/11/2023,2,Microbiology,"Cryptosporidium, Fecal Streptococci",11/01/2023,574.81
5741a6a4-15b3-404a-9c28-f5799ce3bba8,02/19/2023,2,Chemistry,"Chloride, Alkalinity",02/27/2023,190.31
081e7e33-0902-4f6d-a9fa-23b045598d5f,04/16/2023,1,Microbiology,Pseudomonas aeruginosa,05/05/2023,134.45
74f0b0be-16c8-471d-afbf-1386dd86ada9,11/12/2024,5,Chemistry,"TOC, Phosphate, Turbidity, Heavy Metals, Nitrate",11/15/2024,413.47
eb6d73e6-d426-44b9-b008-ead767f7f2a8,07/29/2023,6,Chemistry,NaN,08/09/2023,10
85a2274e-7e1b-4941-8986-baffad47285f,08/15/2023,6,Microbiology,"Cryptosporidium, Enterococci, Clostridium perfringens, Legionella, Pseudomonas aeruginosa, Fecal Streptococci",08/18/2023,1538.05
4581c9e3-323a-45e3-8b14-155d8b17bd01,08/07/2024,10,Microbiology,"Cryptosporidium, E. coli, Fecal Streptococci, Enterococci, Heterotrophic Plate Count, Giardia, Pseudomonas aeruginosa, Total Coliforms, Legionella, Clostridium perfringens",08/21/2024,1187.85
4ae35284-2ce5-47e9-a6a6-8bf51bf2de41,03/07/2024,5,Microbiology,"Total Coliforms, Heterotrophic Plate Count, Pseudomonas aeruginosa, Cryptosporidium, E. coli",04/01/2024,943.83
5a62a66b-42b6-40d1-8cf9-a0740b59de0a,11/18/2023,8,Chemistry,"Sulfate, Phosphate, Heavy Metals, pH, Hardness, Nitrate, TOC, Turbidity",12/05/2023,673.39
157faea0-fdaf-41d1-89f9-dced75286a15,02/07/2023,5,Microbiology,"Total Coliforms, Giardia, Cryptosporidium, Pseudomonas aeruginosa, Clostridium perfringens",02/22/2023,656.26
81a66af6-9e93-4cc4-81e2-1fe00f3e6c2b,03/12/2025,4,Chemistry,"Phosphate, Hardness, Nitrate, Chloride",03/18/2025,1047.33
582cf2b4-fa09-400d-b1bb-c05fb2ed74b3,10/21/2024,6,Chemistry,"Turbidity, Heavy Metals, Phosphate, Sulfate, pH, Nitrate",11/06/2024,631.95
00f57a66-c46b-4573-866d-59ef685dd566,05/23/2023,3,Chemistry,"Hardness, Sulfate, Phosphate",06/11/2023,NaN
0edf9945-4db1-4d77-9dd7-e3203c2cef25,09/14/2023,8,Chemistry,"Hardness, Heavy Metals, pH, TOC, Phosphate, Turbidity, Nitrate, Sulfate",10/13/2023,659.38
7ff05542-ff95-4bfd-b5d3-107f9feda380,10/19/2023,5,Chemistry,"Alkalinity, TOC, Phosphate, Hardness, pH",11/01/2023,401.28
1c5358c4-ffff-4e8f-bfec-e536760b4002,08/05/2024,2,Chemistry,"Phosphate, Sulfate",09/01/2024,259.87
e9c82b04-5014-4fc6-89b2-bc4f84269350,01/02/2024,9,Microbiology,"Fecal Streptococci, Total Coliforms, Pseudomonas aeruginosa, E. coli, Cryptosporidium, Legionella, Heterotrophic Plate Count, Giardia, Enterococci",01/28/2024,NaN
1ac50078-b4a8-4bf7-b62d-d5597f75d7b9,12/02/2023,4,Chemistry,"Nitrate, Heavy Metals, Turbidity, pH",NaN,1027.56
ee84f538-ee6d-4fea-90ac-35b3dbc0f3a4,03/30/2024,6,Chemistry,"pH, Alkalinity, Turbidity, Sulfate, Chloride, Heavy Metals",04/05/2024,1360.78
532d81ca-2f7d-4c4f-823f-648e723194b3,07/09/2024,10,Chemistry,NaN,07/12/2024,NaN
bfcd7d75-ef3b-49d8-a058-93d432dde540,09/06/2024,6,MICROBIOLOGY,"Fecal Streptococci, Heterotrophic Plate Count, Total Coliforms, E. coli, Legionella, Cryptosporidium",09/19/2024,780.17
065bfb54-f881-46a7-95c0-437be8d20f80,03/14/2025,1,Chemistry,Phosphate,04/06/2025,103.77
0d65e074-b3c0-4fbf-a181-137c0f3b7f64,05/22/2024,7,Chemistry,"Alkalinity, Turbidity, TOC, pH, Hardness, Nitrate, Heavy Metals",06/11/2024,1403.96
1111a888-de39-44c5-a8d3-6e2f3e994411,06/13/2024,1,Microbiology,Fecal Streptococci,06/23/2024,117.14
c1b6dd21-0ecc-4f6a-8720-a45460f85148,07.30.2024,7,Chemistry,"pH, Sulfate, Chloride, Alkalinity, Heavy Metals, Nitrate, Turbidity",08/19/2024,NaN
4a1cfe40-2048-4ce3-acd9-d77b8890b43a,04/16/2024,6,Chemistry,"Hardness, TOC, Heavy Metals, Phosphate, Sulfate, pH",05/09/2024,945.93
96772ed2-ab2c-4d8e-afb6-ef768ec7c19d,11/02/2024,1,Chemistry,Turbidity,11/15/2024,133.45
d362e03e-f231-4ee4-bae7-ea6ae8485fef,01/28/2025,3,Chemistry,"Sulfate, Heavy Metals, Chloride",02/12/2025,352.27
c3e865dc-3a74-4079-b58d-e7d777cf400a,03/21/2023,6,Chemistry,"Hardness, Alkalinity, Chloride, Heavy Metals, Nitrate, Turbidity",04/19/2023,1089.53
97da02f8-3d14-4530-aa85-d2741134f4de,01/24/2025,2,Chemistry,"Alkalinity, pH",02/04/2025,269.78
be7cc02f-7a84-4519-9c48-e0969e324d08,03/27/2024,9,Microbiology,"Clostridium perfringens, Heterotrophic Plate Count, E. coli, Legionella, Giardia, Fecal Streptococci, Pseudomonas aeruginosa, Enterococci, Total Coliforms",04/06/2024,2069.7
ee8d103d-3ed4-46b7-8575-79b3f850542b,01/10/2025,4,Microbiology,"Giardia, E. coli, Legionella, Clostridium perfringens",01/14/2025,846.31
c6a95627-b1f3-4e26-9f0c-814e2235a279,11/29/2023,1,Chemistry,pH,12/10/2023,114.33
201b09b5-c788-46d4-9933-7d44b0f0e0a3,03/11/2024,2,Chemistry,"TOC, Hardness",04/08/2024,576.16
d2b638ba-d2f8-4324-af40-240007c55ca4,11/18/2023,1,Chemistry,Chloride,11/21/2023,197.84
6b26ca2d-116a-4005-8301-d4805d1b42eb,04/17/2024,6,Chemistry,"TOC, Chloride, Phosphate, pH, Turbidity, Hardness",04/26/2024,669.52
6f583b71-eb67-46bf-acc5-5c84e39eafa6,09/08/2024,7,Chemistry,"Hardness, Turbidity, pH, Phosphate, Heavy Metals, Chloride, TOC",10/01/2024,1139.01
a5e9be42-73fc-4bfd-8703-016cca56e400,04/18/2024,9,Chemistry,"pH, Heavy Metals, Turbidity, TOC, Nitrate, Chloride, Alkalinity, Sulfate, Phosphate",04/28/2024,1385.07
456ab020-d602-47ae-ab6a-ce5bbf4baf60,12/21/2023,4,Microbiology,NaN,01/12/2024,1045.86
61e1ca70-979e-4aa2-b1bf-6e553c44adcd,09.01.2024,1,Microbiology,Total Coliforms,09/24/2024,NaN
d83e7b4d-44f7-4bad-ae76-f81fb4b16383,04/14/2024,1,Chemistry,Sulfate,04/17/2024,247.45
54b691e2-50cf-4fd5-838f-60070ee24ee7,12/21/2024,10,Chemistry,"Hardness, TOC, Alkalinity, Turbidity, Chloride, Phosphate, pH, Heavy Metals, Sulfate, Nitrate",01/01/2025,2369.31
94f345fd-713e-437c-9379-097e7359f5c4,2024/12/05,3,Chemistry,"Phosphate, Hardness, Chloride",12/14/2024,546.44
2ebb8c1b-5c62-4116-9213-d515b5d8d912,02/15/2023,4,Microbiology,"Heterotrophic Plate Count, Fecal Streptococci, E. coli, Legionella",02/18/2023,731.03
37e68325-b6c9-4620-a037-45a72c6ed84a,09/12/2023,7,Chemistry,"Heavy Metals, Nitrate, Hardness, pH, Phosphate, Turbidity, Alkalinity",10/02/2023,1539.53
89b58e24-c2ef-4dc0-89cf-6dc44e29150f,09/25/2024,8,Chemistry,"Hardness, Nitrate, Heavy Metals, Alkalinity, Chloride, pH, Turbidity, Phosphate",10/13/2024,842.36
bc85b8d0-0c25-418a-88ab-dbb0089f572f,03/09/2024,6,Microbiology,"Enterococci, Pseudomonas aeruginosa, Total Coliforms, E. coli, Giardia, Clostridium perfringens",NaN,1662.71
317a8fcd-e38c-4c5e-8a48-ebe17848c132,02/09/2023,7,Microbiology,"Pseudomonas aeruginosa, Clostridium perfringens, E. coli, Total Coliforms, Fecal Streptococci, Giardia, Enterococci",03/01/2023,590.89
8e740956-9516-49e6-838e-b33f0560bf21,08/15/2023,1,Microbiology,Cryptosporidium,09/01/2023,148.67
